Word,WordFreq_count,Wordfreq_localrank,Wordfreq_globalrank,Concreteness,ECoG_memobserved_weigthed,ECoG_memobserved_unweighted,AMT_memobserved,Model_presented_cue,Model_all_cue,ModelListMem
    {'JUDGE' },43496,254,1116,3.75,0.2414,0.35,0.5417,0.0001138,0.0011391,0.0016
    {'JUICE' },17346,184,2324,4.89,0.2069,0.3529,0.7073,0.0002136,0.0034158,0.0042
    {'KEY'   },39730,255,1094,4.89,0.3103,0.4737,0.6032,0.0001859,0.0022606,0.0029
    {'KITE'  },1861,17,9720,5,0.2069,0.3333,0.5,0.0001562,0.0028208,0.0031
    {'LAKE'  },40194,186,2198,4.88,0.1379,0.2222,0.5797,0.0002288,0.0039736,0.0043
    {'LAMB'  },6243,64,5655,4.97,0.1379,0.2105,0.4066,0.0002431,0.0029499,0.0039
    {'LAMP'  },7941,119,3967,4.97,0.2414,0.3182,0.5577,0.0002675,0.0035023,0.0045
    {'LAND'  },77538,282,566,4.57,0.1724,0.3125,0.5941,0.0000998,0.0033239,0.0046
    {'LAWN'  },11529,159,2969,4.93,0.2414,0.5385,0.3333,0.0001959,0.0037582,0.0048
    {'LEAF'  },25938,221,1564,5,0.1379,0.2857,0.496,0.0002178,0.0042602,0.0051
    {'LEG'   },51067,267,857,4.83,0.4138,0.5455,0.5688,0.0003122,0.0039365,0.0054
    {'LIP'   },27462,218,1587,4.96,0.3103,0.5,0.6696,0.0002439,0.003282,0.004
    {'LOCK'  },16836,185,2235,4.65,0.1379,0.2353,0.5053,0.0002037,0.0032838,0.0043
    {'MAIL'  },14034,176,2524,4.69,0.1379,0.2222,0.5208,0.0001964,0.0023549,0.0034
    {'MAP'   },25533,223,1547,4.93,0.1379,0.1905,0.5765,0.0002365,0.0019691,0.0028
    {'MAT'   },4533,61,5707,4.83,0.1724,0.2941,0.4819,0.0001271,0.0028589,0.0034
    {'MAZE'  },2857,35,7823,4.45,0.2069,0.3529,0.5865,0.00015,0.0020266,0.0026
    {'MILK'  },19500,190,2044,4.92,0.3103,0.4286,0.6778,0.0003269,0.0037493,0.0048
    {'MOLE'  },2059,25,8963,4.41,0.1379,0.2353,0.5,0.0001741,0.0022992,0.0026
    {'MOON'  },24158,177,2466,4.9,0.2414,0.35,0.6577,0.0002487,0.0036103,0.0043
    {'MOOSE' },2589,32,8142,4.97,0.2069,0.375,0.6055,0.0002027,0.00291,0.0036
    {'MOTH'  },2167,26,8740,4.69,0.2414,0.3684,0.5882,0.0000887,0.0023877,0.0028
    {'MOUSE' },10804,146,3326,4.83,0.3103,0.4091,0.6542,0.0004671,0.0044871,0.0054
    {'MOUTH' },43369,257,1061,4.74,0.2414,0.3889,0.6991,0.0004288,0.0052577,0.0069
    {'MUD'   },8701,129,3636,4.86,0.1034,0.2308,0.6404,0.0002139,0.0048975,0.0056
    {'MUG'   },3905,54,6180,4.8,0.1724,0.3571,0.7041,0.0001475,0.0021397,0.0027
    {'MULE'  },3393,47,6700,5,0.1724,0.3125,0.6364,0.0001914,0.0024449,0.0033
    {'NAIL'  },8962,133,3582,4.93,0.1724,0.4167,0.5632,0.0001772,0.0035296,0.0036
    {'NEST'  },7067,111,4164,4.86,0.1034,0.1667,0.3592,0.0001891,0.0038248,0.0044
    {'NET'   },11712,161,2901,4.53,0.2759,0.5,0.5625,0.0001413,0.0024431,0.0028
    {'NOSE'  },23670,210,1744,4.89,0.2414,0.4375,0.5155,0.0003528,0.0051014,0.0057
    {'OAK'   },11358,90,4463,4.82,0.1724,0.3571,0.6505,0.0002105,0.0036665,0.0042
    {'OAR'   },869,6,15036,4.84,0.1724,0.2632,0.4691,0.0001201,0.0005215,0.0009
    {'OWL'   },4094,56,6031,4.93,0.2414,0.4118,0.4828,0.0001192,0.0026732,0.0031
    {'PALM'  },16193,156,3010,4.83,0.1724,0.2778,0.4177,0.0002364,0.0033194,0.0043
    {'PANTS' },13598,168,2706,4.86,0.1379,0.2857,0.6346,0.0002434,0.0040274,0.0049
    {'PARK'  },75762,245,1231,4.74,0.2069,0.3,0.5714,0.0003772,0.0035755,0.0044
    {'PASTE' },2803,36,7753,4.45,0.1724,0.3571,0.5455,0.0002122,0.0028546,0.0036
    {'PEA'   },5275,70,5284,4.9,0.1724,0.3846,0.6422,0.0001897,0.0030347,0.003
    {'PEACH' },4662,65,5594,4.9,0.1724,0.3571,0.6415,0.0002214,0.0035029,0.004
    {'PEAR'  },3292,44,6957,4.93,0.069,0.1111,0.4896,0.0002482,0.0027412,0.0028
    {'PEARL' },7536,40,7315,4.87,0.1379,0.2667,0.5312,0.0001058,0.0026113,0.003
