OWL	56	6031	4094
PALM	156	3010	16193
PANTS	168	2706	13598
PARK	245	1231	75762
PASTE	36	7753	2803
PEA	70	5284	5275
PEACH	65	5594	4662
PEAR	44	6957	3292
PEARL	40	7315	7536
PEN	130	3609	9034
PET	147	3299	10179
PHONE	283	557	78367
PIE	143	3345	10130
PIG	137	3511	8930
PIN	95	4386	6494
PIPE	158	2999	11405
PIT	121	3887	7768
PLANE	251	1151	36214
PLANT	278	623	67679
PLATE	224	1530	26946
POLE	164	2806	12173
POND	128	3653	8493
POOL	220	1570	25237
PRINCE	67	5522	12462
PURSE	94	4397	6774
RAIN	222	1555	25903
RAKE	23	9041	2010
RAT	132	3584	8848
RIB	85	4611	6349
RICE	167	2757	19581
ROAD	287	489	87528
ROCK	266	870	52101
ROOF	188	2148	17827
ROOM	297	227	185952
ROOT	211	1743	22449
ROPE	145	3330	10098
ROSE	141	3390	21402
RUG	73	5148	5236
SAIL	112	4157	7096
SALT	219	1576	32585
SCHOOL	299	125	331597
SEA	260	990	43531
SEAL	117	4053	7321
SEAT	265	895	48350
SEED	198	1929	20690
SHARK	89	4478	6647
SHEEP	106	4243	6729
SHEET	209	1762	22907
SHELL	173	2576	14156
SHIELD	63	5673	5110
SHIP	247	1221	36015
SHIRT	208	1781	23556
SHOE	229	1427	29485
SHRIMP	108	4177	7732
SIGN	271	759	54280
SINK	163	2826	12528
SKI	154	3051	13572
SKUNK	5	15107	802
SKY	252	1148	37857
SLEEVE	86	4610	6351
SLIME	3	16389	695
SLUSH	1	19291	485
SMILE	256	1069	44555
SMOKE	181	2430	15461
SNAIL	14	10425	1602
SNAKE	138	3504	9553
SNOW	206	1791	28101
SOAP	96	4382	6456
SOCK	100	4314	6698
SOUP	155	3016	11658
SPARK	77	4851	5647
SPEAR	31	8463	3710
SPONGE	19	9489	1906
SPOON	97	4377	6960
SPRING	264	902	48861
SQUARE	166	2764	12950
STAIR	162	2880	13029
STAR	285	538	80007
STEAK	84	4678	6334
STEAM	110	4172	6994
STEM	139	3437	9729
STICK	249	1211	35036
STONE	246	1222	39479
STOOL	55	6068	3991
STORE	273	700	60893
STORM	216	1662	24770
STOVE	92	4427	6525
STRAW	80	4774	5771
STREET	284	554	114259
STRING	170	2687	12918
SUIT	230	1415	29000
SUN	242	1237	49383
SWAMP	49	6420	3721
SWORD	115	4137	7690
TAIL	157	3004	11516
TANK	201	1884	20540
TEA	187	2177	19429
TEETH	203	1864	22223
TENT	153	3090	11006
THREAD	81	4758	5723
THUMB	125	3777	8265
TIE	226	1506	26498
